Job_Title,Job_Role,Company,Location,Job_Description,User_Skills,Job_Requirements,Experience,Salary_Range,Rating
Computer Vision Engineer,Computer Vision Engineer,Swiggy,Hyderabad,Build image recognition and object detection systems. Work with CNNs and deep learning. Deploy vision models to production.,"Python, OpenCV, PyTorch, TensorFlow, CNNs, YOLO, Image Processing, CUDA","Python, OpenCV, PyTorch, TensorFlow, CNNs, YOLO, Image Processing, CUDA",2-5 years,12-22 LPA,3.9
Growth Hacker,Growth Hacker,Amazon,Delhi,Drive user acquisition and retention. Run experiments and A/B tests. Analyze funnel metrics. Work with product and marketing teams.,"Python, SQL, Analytics, A/B Testing, SEO, Email Marketing, Excel, Communication","Python, SQL, Analytics, A/B Testing, SEO, Email Marketing, Excel, Communication",2-4 years,8-14 LPA,4.1
Business Intelligence Analyst,Business Intelligence Analyst,Accenture,Hyderabad,Build BI dashboards. Analyze business performance data. Create automated reports. Work with stakeholders to understand data needs.,"Tableau, Power BI, SQL, Excel, Python, Data Modeling, ETL, SSRS","Tableau, Power BI, SQL, Excel, Python, Data Modeling, ETL, SSRS",1-3 years,6-12 LPA,3.1
Site Reliability Engineer,Site Reliability Engineer,Freshworks,Mumbai,Ensure reliability and performance of production systems. Automate operations. Define SLOs and SLAs. Respond to incidents.,"Linux, Python, Go, Kubernetes, Prometheus, Grafana, CI/CD, AWS, Incident Management","Linux, Python, Go, Kubernetes, Prometheus, Grafana, CI/CD, AWS, Incident Management",3-6 years,14-24 LPA,3.1
Scrum Master,Scrum Master,Microsoft India,Delhi,Facilitate agile ceremonies. Remove impediments for the team. Coach teams on agile practices. Track sprint progress.,"Agile, Scrum, Jira, Confluence, Kanban, Communication, Leadership, Risk Management","Agile, Scrum, Jira, Confluence, Kanban, Communication, Leadership, Risk Management",2-5 years,10-18 LPA,3.8
NLP Engineer,NLP Engineer,BYJU's,Chennai,Develop natural language processing models. Build text classification and extraction systems. Work on chatbots and conversational AI.,"Python, NLP, BERT, SpaCy, NLTK, TensorFlow, Transformers, HuggingFace","Python, NLP, BERT, SpaCy, NLTK, TensorFlow, Transformers, HuggingFace",2-5 years,12-20 LPA,5.0
Scrum Master,Scrum Master,Freshworks,Delhi,Facilitate agile ceremonies. Remove impediments for the team. Coach teams on agile practices. Track sprint progress.,"Agile, Scrum, Jira, Confluence, Kanban, Communication, Leadership, Risk Management","Agile, Scrum, Jira, Confluence, Kanban, Communication, Leadership, Risk Management",2-5 years,10-18 LPA,4.4
Full Stack Developer,Full Stack Developer,Wipro,Hyderabad,Build web applications from frontend to backend. Work with React and Node.js. Design RESTful APIs. Collaborate with UI/UX designers.,"JavaScript, React, Node.js, HTML, CSS, SQL, MongoDB, Git, REST API, Express","JavaScript, React, Node.js, HTML, CSS, SQL, MongoDB, Git, REST API, Express",2-4 years,8-16 LPA,4.3
Risk Analyst,Risk Analyst,Accenture,Kolkata,Identify and assess business risks. Develop risk mitigation strategies. Analyze data to predict potential issues. Report to management.,"SQL, Python, Excel, Statistics, Risk Modeling, Power BI, Financial Analysis","SQL, Python, Excel, Statistics, Risk Modeling, Power BI, Financial Analysis",2-4 years,8-14 LPA,4.7
Data Science Manager,Data Science Manager,BYJU's,Noida,Lead a team of data scientists. Define data strategy. Oversee model development and deployment. Present insights to executives.,"Python, Machine Learning, Leadership, SQL, Communication, Strategy, Statistics, Tableau","Python, Machine Learning, Leadership, SQL, Communication, Strategy, Statistics, Tableau",6-10 years,25-45 LPA,4.7
Cloud Engineer,Cloud Engineer,Amazon,Hyderabad,Design and manage cloud infrastructure. Migrate on-premise systems to cloud. Optimize cloud costs. Ensure security and compliance.,"AWS, Azure, GCP, Terraform, Docker, Kubernetes, Python, Linux, Security","AWS, Azure, GCP, Terraform, Docker, Kubernetes, Python, Linux, Security",2-5 years,12-20 LPA,3.3
Prompt Engineer,Prompt Engineer,Freshworks,Hyderabad,Design and optimize prompts for LLMs. Evaluate model outputs. Build AI-powered applications. Work with GPT and Claude APIs.,"Python, NLP, LLMs, Prompt Engineering, OpenAI API, HuggingFace, Communication","Python, NLP, LLMs, Prompt Engineering, OpenAI API, HuggingFace, Communication",1-3 years,10-20 LPA,4.7
IoT Engineer,IoT Engineer,Zomato,Kolkata,"Design and build IoT systems. Work with sensors, actuators, and cloud platforms. Develop firmware and backend services. Ensure connectivity.","Python, C, MQTT, IoT, AWS IoT, Raspberry Pi, Arduino, Linux, Cloud, REST API","Python, C, MQTT, IoT, AWS IoT, Raspberry Pi, Arduino, Linux, Cloud, REST API",2-5 years,8-16 LPA,3.6
Robotics Engineer,Robotics Engineer,Google India,Chennai,Design and program robotic systems. Work with ROS and sensor integration. Develop control algorithms. Test and validate robots.,"Python, C++, ROS, Control Systems, Sensor Fusion, SLAM, Linux, Computer Vision","Python, C++, ROS, Control Systems, Sensor Fusion, SLAM, Linux, Computer Vision",3-6 years,12-22 LPA,5.0
Financial Analyst,Financial Analyst,Amazon,Mumbai,Analyze financial data and trends. Build financial models and forecasts. Prepare reports for management. Support budgeting process.,"Excel, SQL, Financial Modeling, Python, Power BI, Statistics, Accounting, ERP","Excel, SQL, Financial Modeling, Python, Power BI, Statistics, Accounting, ERP",2-4 years,8-15 LPA,4.1
Cybersecurity Analyst,Cybersecurity Analyst,TCS,Remote,Monitor networks for security threats. Investigate incidents and vulnerabilities. Implement security policies and procedures. Conduct security audits.,"Network Security, SIEM, Firewalls, IDS/IPS, Vulnerability Assessment, Python, Linux, CISSP","Network Security, SIEM, Firewalls, IDS/IPS, Vulnerability Assessment, Python, Linux, CISSP",2-4 years,8-15 LPA,4.2
MLOps Engineer,MLOps Engineer,Zoho,Noida,Manage ML model lifecycle. Automate training and deployment pipelines. Monitor model performance in production. Maintain infrastructure.,"Python, Docker, Kubernetes, CI/CD, MLflow, Airflow, AWS SageMaker, Terraform","Python, Docker, Kubernetes, CI/CD, MLflow, Airflow, AWS SageMaker, Terraform",3-5 years,14-22 LPA,3.9
Frontend Developer,Frontend Developer,Wipro,Hyderabad,Build responsive and interactive web interfaces. Work with modern JavaScript frameworks. Optimize performance. Ensure cross-browser compatibility.,"JavaScript, React, Angular, Vue.js, HTML5, CSS3, TypeScript, Git, Webpack","JavaScript, React, Angular, Vue.js, HTML5, CSS3, TypeScript, Git, Webpack",1-3 years,6-12 LPA,3.0
Bioinformatics Engineer,Bioinformatics Engineer,Wipro,Mumbai,Analyze genomic and biological data. Build pipelines for data processing. Apply ML to biological datasets. Collaborate with researchers.,"Python, R, Bioinformatics, Machine Learning, Linux, SQL, Statistics, NextFlow","Python, R, Bioinformatics, Machine Learning, Linux, SQL, Statistics, NextFlow",2-5 years,10-18 LPA,3.7
Database Administrator,Database Administrator,Zoho,Mumbai,Manage and optimize databases. Ensure data integrity and security. Perform backups and recovery. Monitor database performance.,"SQL, MySQL, PostgreSQL, Oracle, MongoDB, Performance Tuning, Backup, Linux","SQL, MySQL, PostgreSQL, Oracle, MongoDB, Performance Tuning, Backup, Linux",2-5 years,8-14 LPA,4.1
Site Reliability Engineer,Site Reliability Engineer,Amazon,Remote,Ensure reliability and performance of production systems. Automate operations. Define SLOs and SLAs. Respond to incidents.,"Linux, Python, Go, Kubernetes, Prometheus, Grafana, CI/CD, AWS, Incident Management","Linux, Python, Go, Kubernetes, Prometheus, Grafana, CI/CD, AWS, Incident Management",3-6 years,14-24 LPA,4.6
Backend Developer,Backend Developer,Amazon,Pune,Develop server-side logic and APIs. Work with databases and cloud services. Ensure scalability and performance. Write documentation.,"Node.js, Python, Java, SQL, NoSQL, REST API, GraphQL, Docker, AWS","Node.js, Python, Java, SQL, NoSQL, REST API, GraphQL, Docker, AWS",2-4 years,8-14 LPA,4.9
AWS Solutions Architect,AWS Solutions Architect,BYJU's,Bangalore,Design scalable cloud architectures on AWS. Lead cloud migrations. Define best practices. Provide technical guidance to teams.,"AWS, EC2, S3, Lambda, RDS, VPC, CloudFormation, Docker, Python, Linux","AWS, EC2, S3, Lambda, RDS, VPC, CloudFormation, Docker, Python, Linux",4-7 years,18-30 LPA,3.0
Web Designer,Web Designer,Freshworks,Pune,"Design visually appealing websites. Work with HTML, CSS, and JavaScript. Ensure responsive design. Collaborate with marketing teams.","HTML, CSS, JavaScript, Figma, Adobe Creative Suite, Bootstrap, WordPress","HTML, CSS, JavaScript, Figma, Adobe Creative Suite, Bootstrap, WordPress",1-3 years,4-8 LPA,3.5
iOS Developer,iOS Developer,Paytm,Bangalore,Build native iOS applications using Swift. Work with Xcode and Apple frameworks. Follow App Store guidelines. Integrate backend services.,"Swift, Objective-C, Xcode, UIKit, SwiftUI, REST API, CoreData, Git, Firebase","Swift, Objective-C, Xcode, UIKit, SwiftUI, REST API, CoreData, Git, Firebase",2-4 years,8-16 LPA,4.1
Backend Developer,Backend Developer,Swiggy,Kolkata,Develop server-side logic and APIs. Work with databases and cloud services. Ensure scalability and performance. Write documentation.,"Node.js, Python, Java, SQL, NoSQL, REST API, GraphQL, Docker, AWS","Node.js, Python, Java, SQL, NoSQL, REST API, GraphQL, Docker, AWS",2-4 years,8-14 LPA,3.9
Data Engineer,Data Engineer,InfoSys,Hyderabad,Build and maintain data pipelines. Design data warehouses. Work with big data technologies. Ensure data quality and reliability.,"Python, Spark, Hadoop, SQL, Airflow, Kafka, AWS, GCP, ETL, Scala","Python, Spark, Hadoop, SQL, Airflow, Kafka, AWS, GCP, ETL, Scala",2-4 years,10-16 LPA,3.9
QA Engineer,QA Engineer,Paytm,Kolkata,Design and execute test plans. Automate test cases using Selenium. Report and track bugs. Ensure software quality before release.,"Selenium, Python, Java, TestNG, Jira, SQL, API Testing, Postman, Manual Testing","Selenium, Python, Java, TestNG, Jira, SQL, API Testing, Postman, Manual Testing",1-3 years,5-10 LPA,3.3
